name,areas,is_boss,data_type,enemy_type,initial_status,hp,pp,offense,defense,speed,guts,exp_reward,money_reward,drop_item,drop_chance,battle_tip,resistance_name,resistance_type,resistance_value,ability_name,ability_target,ability_aoe,ability_effect
Starman Deluxe,,TRUE,ability,,,,,,,,,,,,,,,,,Call for help,ally,none,
Starman Junior,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,25,,,,
Starman Junior,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Starman Junior,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,25,,,,
Starman Junior,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Starman Junior,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Starman Junior,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Starman Junior,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Fire β,enemy,row,
Starman Junior,,TRUE,ability,,,,,,,,,,,,,,,,,Be on guard,ally,single,
Starman Junior,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Freeze α,enemy,single,
Starman Junior,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Fire α,enemy,row,
Thunder and Storm,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Thunder and Storm,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,99,,,,
Thunder and Storm,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Thunder and Storm,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Thunder and Storm,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Thunder and Storm,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Thunder and Storm,,TRUE,ability,,,,,,,,,,,,,,,,,Summon a storm,enemy,all,
Thunder and Storm,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Thunder and Storm,,TRUE,ability,,,,,,,,,,,,,,,,,Use a Crashing Boom Bang attack,enemy,all,
Thunder and Storm,,TRUE,ability,,,,,,,,,,,,,,,,,Take deep breaths for the next assault,ally,none,
Thunder and Storm,,TRUE,ability,,,,,,,,,,,,,,,,,Rush in and intertwine,enemy,single,
Titanic Ant,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Titanic Ant,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,10,,,,
Titanic Ant,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Titanic Ant,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Titanic Ant,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Titanic Ant,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Titanic Ant,,TRUE,ability,,,,,,,,,,,,,,,,,Use a biting attack,enemy,single,
Titanic Ant,,TRUE,ability,,,,,,,,,,,,,,,,,Defense down α,enemy,single,
Titanic Ant,,TRUE,ability,,,,,,,,,,,,,,,,,Magnet α,enemy,single,
Titanic Ant,,TRUE,ability,,,,,,,,,,,,,,,,,Use a biting attack,enemy,single,
Titanic Ant,,TRUE,ability,,,,,,,,,,,,,,,,,Shield α,ally,single,
Trillionage Sprout,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Trillionage Sprout,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Trillionage Sprout,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Trillionage Sprout,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Trillionage Sprout,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Trillionage Sprout,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Trillionage Sprout,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Flash α,enemy,all,
Trillionage Sprout,,TRUE,ability,,,,,,,,,,,,,,,,,Paralysis α,enemy,single,
Trillionage Sprout,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Shield α,ally,single,
Trillionage Sprout,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Trillionage Sprout,,TRUE,ability,,,,,,,,,,,,,,,,,Glare with one's eerie eyes,enemy,single,
Abstract Art,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Abstract Art,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Abstract Art,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Abstract Art,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Abstract Art,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Abstract Art,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Abstract Art,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Abstract Art,,FALSE,ability,,,,,,,,,,,,,,,,,Hypnosis α,enemy,single,
Annoying Old Party Man,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Annoying Old Party Man,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Annoying Old Party Man,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Annoying Old Party Man,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Annoying Old Party Man,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Annoying Old Party Man,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Annoying Old Party Man,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Annoying Old Party Man,,FALSE,ability,,,,,,,,,,,,,,,,,Grumble about today's youth,enemy,single,
Annoying Old Party Man,,FALSE,ability,,,,,,,,,,,,,,,,,Be wobbly,ally,none,
Annoying Old Party Man,,FALSE,ability,,,,,,,,,,,,,,,,,Be reeling,ally,none,
Annoying Reveler,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Annoying Reveler,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Annoying Reveler,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Annoying Reveler,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Annoying Reveler,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Annoying Reveler,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Annoying Reveler,,FALSE,ability,,,,,,,,,,,,,,,,,Grumble about today's youth,enemy,single,
Annoying Reveler,,FALSE,ability,,,,,,,,,,,,,,,,,Start lecturing target,enemy,single,
Annoying Reveler,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Annoying Reveler,,FALSE,ability,,,,,,,,,,,,,,,,,Be wobbly,ally,none,
Arachnid!,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Arachnid!,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Arachnid!,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Arachnid!,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Arachnid!,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Arachnid!,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Arachnid!,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Arachnid!,,FALSE,ability,,,,,,,,,,,,,,,,,Shoot spider silk out of one's body,enemy,single,
Arachnid!,,FALSE,ability,,,,,,,,,,,,,,,,,Sting with one's poison stinger,enemy,single,
Arachnid!!!,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Arachnid!!!,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Arachnid!!!,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Arachnid!!!,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Arachnid!!!,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Arachnid!!!,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Arachnid!!!,,FALSE,ability,,,,,,,,,,,,,,,,,Sting with one's poison stinger,enemy,single,
Arachnid!!!,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Arachnid!!!,,FALSE,ability,,,,,,,,,,,,,,,,,Shoot spider silk out of one's body,enemy,single,
Armored Frog,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Armored Frog,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Armored Frog,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Armored Frog,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Armored Frog,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Armored Frog,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Armored Frog,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Armored Frog,,FALSE,ability,,,,,,,,,,,,,,,,,Make something spin around,enemy,single,
Atomic Power Robot,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,25,,,,
Atomic Power Robot,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,10,,,,
Atomic Power Robot,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Atomic Power Robot,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Atomic Power Robot,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Atomic Power Robot,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Atomic Power Robot,,FALSE,ability,,,,,,,,,,,,,,,,,Replenish a fuel supply,ally,single,
Atomic Power Robot,,FALSE,ability,,,,,,,,,,,,,,,,,Fire a beam,enemy,single,
Attack Slug,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Attack Slug,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Attack Slug,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Attack Slug,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Attack Slug,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Attack Slug,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Attack Slug,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Attack Slug,,FALSE,ability,,,,,,,,,,,,,,,,,Edge closer,ally,none,
Attack Slug,,FALSE,ability,,,,,,,,,,,,,,,,,Hypnosis α,enemy,single,
Bad Buffalo,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Bad Buffalo,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Bad Buffalo,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Bad Buffalo,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Bad Buffalo,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Bad Buffalo,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Bad Buffalo,,FALSE,ability,,,,,,,,,,,,,,,,,Tear into target,enemy,single,
Bad Buffalo,,FALSE,ability,,,,,,,,,,,,,,,,,Ram and trample,enemy,single,
Bad Buffalo,,FALSE,ability,,,,,,,,,,,,,,,,,Knit one's brow,ally,none,
Beautiful UFO,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Beautiful UFO,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,10,,,,
Beautiful UFO,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Beautiful UFO,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Beautiful UFO,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Beautiful UFO,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Beautiful UFO,,FALSE,ability,,,,,,,,,,,,,,,,,Fire a beam,enemy,single,
Beautiful UFO,,FALSE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Big Pile of Puke,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Big Pile of Puke,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Big Pile of Puke,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Big Pile of Puke,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Big Pile of Puke,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Big Pile of Puke,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Big Pile of Puke,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Big Pile of Puke,,FALSE,ability,,,,,,,,,,,,,,,,,Exhale a blast of stinky breath,enemy,all,
Big Pile of Puke,,FALSE,ability,,,,,,,,,,,,,,,,,Spit out a sticky mucus,enemy,single,
Big Pile of Puke,,FALSE,ability,,,,,,,,,,,,,,,,,Burp and blow nauseating breath,enemy,single,
Bionic Kraken,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Bionic Kraken,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Bionic Kraken,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Bionic Kraken,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Bionic Kraken,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Bionic Kraken,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Bionic Kraken,,FALSE,ability,,,,,,,,,,,,,,,,,Generate a tornado,enemy,all,
Bionic Kraken,,FALSE,ability,,,,,,,,,,,,,,,,,Use a Crashing Boom Bang attack,enemy,all,
Bionic Kraken,,FALSE,ability,,,,,,,,,,,,,,,,,Breathe fire,enemy,all,
Bionic Kraken,,FALSE,ability,,,,,,,,,,,,,,,,,Emit a pale green light,enemy,all,
Black Antoid,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Black Antoid,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Black Antoid,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Black Antoid,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Black Antoid,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,0,,,,
Black Antoid,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,99,,,,
Black Antoid,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Black Antoid,,FALSE,ability,,,,,,,,,,,,,,,,,Call for help,ally,none,
Black Antoid,,FALSE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Care Free Bomb,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Care Free Bomb,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Care Free Bomb,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Care Free Bomb,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Care Free Bomb,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Care Free Bomb,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Care Free Bomb,,FALSE,ability,,,,,,,,,,,,,,,,,Throw Bomb,enemy,single,
Care Free Bomb,,FALSE,ability,,,,,,,,,,,,,,,,,Throw Super bomb,enemy,single,
Cave Boy,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Cave Boy,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Cave Boy,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,25,,,,
Cave Boy,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Cave Boy,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Cave Boy,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Cave Boy,,FALSE,ability,,,,,,,,,,,,,,,,,Shout in a loud voice,enemy,single,
Cave Boy,,FALSE,ability,,,,,,,,,,,,,,,,,Swing a club,enemy,single,
Chomposaur,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,25,,,,
Chomposaur,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Chomposaur,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Chomposaur,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Chomposaur,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Chomposaur,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Chomposaur,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Fire α,enemy,row,
Chomposaur,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Fire β,enemy,row,
Chomposaur,,FALSE,ability,,,,,,,,,,,,,,,,,Swing one's tail very hard,enemy,single,
Chomposaur,,FALSE,ability,,,,,,,,,,,,,,,,,Stomp with one's huge foot,enemy,single,
Chomposaur,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Fire γ,enemy,row,
Coil Snake,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Coil Snake,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Coil Snake,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Coil Snake,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Coil Snake,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,0,,,,
Coil Snake,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,99,,,,
Coil Snake,,FALSE,ability,,,,,,,,,,,,,,,,,Use a biting attackEnemy,One,,
Coil Snake,,FALSE,ability,,,,,,,,,,,,,,,,,Coil around target and attack,enemy,none,
Conducting Menace,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Conducting Menace,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Conducting Menace,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Conducting Menace,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Conducting Menace,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Conducting Menace,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Conducting Menace,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Flash α,enemy,all,
Conducting Menace,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Flash β,enemy,all,
Conducting Menace,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Thunder α,enemy,all,
Conducting Menace,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Thunder β,enemy,all,
Conducting Spirit,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Conducting Spirit,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Conducting Spirit,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Conducting Spirit,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Conducting Spirit,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Conducting Spirit,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Conducting Spirit,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Flash α,enemy,all,
Conducting Spirit,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Flash β,enemy,all,
Conducting Spirit,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Thunder β,enemy,all,
Conducting Spirit,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Thunder γ,enemy,all,
Cop,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Cop,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Cop,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Cop,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Cop,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Cop,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Cop,,FALSE,ability,,,,,,,,,,,,,,,,,Attack with a crushing chop,enemy,single,
Cop,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Cranky Lady,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Cranky Lady,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Cranky Lady,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Cranky Lady,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Cranky Lady,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Cranky Lady,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Cranky Lady,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Cranky Lady,,FALSE,ability,,,,,,,,,,,,,,,,,Wield a shopping bag,enemy,single,
Cranky Lady,,FALSE,ability,,,,,,,,,,,,,,,,,Scowl sharply,enemy,single,
Crazed Sign,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Crazed Sign,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Crazed Sign,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Crazed Sign,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Crazed Sign,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,0,,,,
Crazed Sign,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,99,,,,
Crazed Sign,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Crazed Sign,,FALSE,ability,,,,,,,,,,,,,,,,,Paralysis α,enemy,single,
Crazed Sign,,FALSE,ability,,,,,,,,,,,,,,,,,Hypnosis α,enemy,single,
Crested Booka,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,25,,,,
Crested Booka,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Crested Booka,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Crested Booka,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Crested Booka,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,0,,,,
Crested Booka,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,99,,,,
Crested Booka,,FALSE,ability,,,,,,,,,,,,,,,,,Have a big grin on one's face,ally,none,
Crested Booka,,FALSE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Crested Booka,,FALSE,ability,,,,,,,,,,,,,,,,,Shriek a war cry,enemy,single,
Criminal Caterpillar,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Criminal Caterpillar,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,99,,,,
Criminal Caterpillar,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Criminal Caterpillar,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Criminal Caterpillar,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,0,,,,
Criminal Caterpillar,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,99,,,,
Criminal Caterpillar,,FALSE,ability,,,,,,,,,,,,,,,,,PSI Fire α,enemy,row,
Crooked Cop,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Crooked Cop,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Crooked Cop,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Crooked Cop,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Crooked Cop,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Crooked Cop,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Crooked Cop,,FALSE,ability,,,,,,,,,,,,,,,,,Grapple and use a submission hold,enemy,single,
Crooked Cop,,FALSE,ability,,,,,,,,,,,,,,,,,Come out swinging,enemy,single,
Crooked Cop,,FALSE,ability,,,,,,,,,,,,,,,,,Be on guard,ally,single,
Crooked Cop,,FALSE,ability,,,,,,,,,,,,,,,,,Lose one's temper,ally,none,
Cute Li'l UFO,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Cute Li'l UFO,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,10,,,,
Cute Li'l UFO,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Cute Li'l UFO,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Cute Li'l UFO,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Cute Li'l UFO,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Cute Li'l UFO,,FALSE,ability,,,,,,,,,,,,,,,,,Fire a beam,enemy,single,
Cute Li'l UFO,,FALSE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Dali's Clock,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Dali's Clock,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Dali's Clock,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Dali's Clock,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Dali's Clock,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,0,,,,
Dali's Clock,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,99,,,,
Dali's Clock,,FALSE,ability,,,,,,,,,,,,,,,,,Freeze you in time,enemy,single,
Deadly Mouse,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Deadly Mouse,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Deadly Mouse,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Deadly Mouse,,FALSE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Deadly Mouse,,FALSE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Deadly Mouse,,FALSE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Deadly Mouse,,FALSE,ability,,,,,,,,,,,,,,,,,Bite using poisonous fangs,enemy,single,
Deadly Mouse,,FALSE,ability,,,,,,,,,,,,,,,,,Use a biting attack,enemy,single,
Demonic Petunia,,FALSE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Demonic Petunia,,FALSE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Demonic Petunia,,FALSE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,25,,,,
